|        in        |zer|neg|       out        |
| 0000000000000000 | 0 | 0 | 0000000000000000 |
| 0000000000000000 | 1 | 0 | 0000000000000000 |
| 0000000000000000 | 0 | 1 | 1111111111111111 |
| 0000000000000000 | 1 | 1 | 1111111111111111 |
| 1111111111111111 | 0 | 0 | 1111111111111111 |
| 1111111111111111 | 1 | 0 | 0000000000000000 |
| 1111111111111111 | 0 | 1 | 0000000000000000 |
| 1111111111111111 | 1 | 1 | 1111111111111111 |
| 0011000000001100 | 0 | 0 | 0011000000001100 |
| 0011000000001100 | 1 | 0 | 0000000000000000 |
| 0011000000001100 | 0 | 1 | 1100111111110011 |
| 0011000000001100 | 1 | 1 | 1111111111111111 |
